Name,Region,Data Center Operator,Year,Area,Status,Address,Zip,City,State,Country,Full Address,Latitude,Longitude,Size (m^2),PUE
Microsoft: Rio Brazil,Brazil Southeast,Microsoft,2023,Latin America,Planned,,,Rio de Janerio,,Brazil,", Rio de Janerio, , Brazil",-22.9068467,-43.1728965,,
Equinix RJ2,Brazil Southeast,Equinix,,Latin America,Operational,Estrado Adhemer Bebiano 1380,,Rio de Janerio,,Brazil,"Estrado Adhemer Bebiano 1380, Rio de Janerio, , Brazil",-22.8713852,-43.273228,,
Microsoft: Sao Paulo Data Center,Brazil South,Microsoft,,Latin America,Operational,"Rua Santa Teresa, 64",,São Paulo,,Brazil,"Rua Santa Teresa, 64, São Paulo, , Brazil",-23.5499812,-46.6332852,,
Equinix SP2,Brazil South,Equinix,,Latin America,Operational,Alameda Araguaia 3641,,Alphaville,Barueri,Brazil,"Alameda Araguaia 3641, Alphaville, Barueri, Brazil",-23.5026996,-46.8272548,,
Microsoft: Warsaw Poland,Poland Cental,Microsoft,2024,Europe,Planned,,,Warsaw,,Poland,", Warsaw, , Poland",52.2296756,21.0122287,,
Microsoft: Milian Italy,Italy North,Microsoft,2023,Europe,Planned,,,Milian,,Italy,", Milian, , Italy",45.4642035,9.189982,,
Microsoft: Denmark,Italy North,Microsoft,2023,Europe,Planned,,,Ballerup,,Denmark,", Ballerup, , Denmark",55.724508,12.354765,,
Interxion CPH1,Denmark East,Interxion (Digital Realty),,Europe,Operational,Industriparken 20,,Ballerup,,Denmark,"Industriparken 20, Ballerup, , Denmark",55.7288513,12.3758662,,
Microsoft: Athens Greece,Greece Central,Microsoft,2025,Europe,Planned,,,Athens,,Greece,", Athens, , Greece",37.9838096,23.7275388,,
Microsoft: Vienna Austria,Austria East,Microsoft,2023,Europe,Planned,,,Vienna,,Austria,", Vienna, , Austria",48.2081743,16.3738189,,
Microsoft: Madrid Spain,Spain Central,Microsoft,2023,Europe,Planned,,,Madrid,,Spain,"Madrid, Spain",40.4167754,-3.7037902,,
Interxion MAD1,Spain Central,Interxion (Digital Realty),,Europe,Operational,Calle Albasanz 71,,Madrid,,Spain,"Calle Albasanz 71, Madrid, , Spain",40.4395526,-3.6213845,,
Microsoft: Belgium,Belgium Central,Microsoft,2023,Europe,Planned,,,Brussels,,Belgium,", Brussels, , Belgium",50.8476424,4.3571696,,
Microsoft: Dublin Data Center,North Europe,Microsoft,,Europe,Operational,"One Microsoft Place, South County Business Park",,Leopardstown,,Ireland,"One Microsoft Place, South County Business Park, Leopardstown, , Ireland",53.2677761,-6.1984079,51096,
Equinix DB3,North Europe,Equinix,,Europe,Operational,U2 North West Business Park,,Dublin,,Ireland,"U2 North West Business Park, Dublin, , Ireland",53.4126976,-6.3518413,,
Interxion DUB2,North Europe,Interxion (Digital Realty),,Europe,Operational,"24 Hume Avenue, Dublin",,Dublin,,Ireland,"24 Hume Avenue, Dublin, Dublin, , Ireland",53.3309141,-6.3622189,,
Microsoft: Amsterdam Data Center,West Europe,Microsoft,2014,Europe,Operational,"Agriport 601,",,Middenmeer,,Netherlands,"Agriport 601,, Middenmeer, , Netherlands",52.7628465,5.038871,114735,
Equinix AM5,West Europe,Equinix,,Europe,Operational,Schepenbergweg 42,,Amsterdam,,Netherlands,"Schepenbergweg 42, Amsterdam, , Netherlands",52.2933512,4.9450536,6000,
Interxion AMS8,West Europe,Interxion (Digital Realty),,Europe,Operational,Pudongweg 37,,Rozenburg,,Netherlands,"Pudongweg 37, Rozenburg, , Netherlands",52.2757527,4.7431424,,
Equinix SK1,West Europe,Equinix,,Europe,Operational,Mariehällsvägen 36,,Stockholm,,Sweden,"Mariehällsvägen 36, Stockholm, , Sweden",59.3624627,17.9566192,,
Interxion PAR5,France Central,Interxion (Digital Realty),,Europe,Operational,11-13 Avenue des Arts et Metiers,,Paris,,France,"11-13 Avenue des Arts et Metiers, Paris, , France",48.9142581,2.3624607,,
Interxion MRS1,France South,Interxion (Digital Realty),,Europe,Operational,40 Avenue Roger Salengro,,Marseille,,France,"40 Avenue Roger Salengro, Marseille, , France",43.3103674,5.3733505,,
Microsoft: Cardif,UK West,Microsoft,,Europe,Operational,,,Cardif,,Wales,", Cardif, , Wales",51.483707,-3.1680962,,
Next Generation Data Newport,UK West,HNS,,Europe,Operational,"Celtic Way, Coedkernew, Marshfield, Duffryn",,Cardif,,Wales,"Celtic Way, Coedkernew, Marshfield, Duffryn, Cardif, , Wales",51.5529035,-3.0367184,,
Microsoft: London,UK South,Microsoft,,Europe,Operational,,,London,,United Kingdom,", London, , United Kingdom",51.5072178,-0.1275862,,
Equinix LD5,UK South,Equinix,,Europe,Operational,8 Buckingham Ave,,Slough,,United Kingdom,"8 Buckingham Ave, Slough, , United Kingdom",51.5224625,-0.6290497,16000,
TELEHOUSE Docklands North Two,UK South,TELEHOUSE,,Europe,Operational,14 Coriander Avenue,,London,,United Kingdom,"14 Coriander Avenue, London, , United Kingdom",51.5115531,-0.0028934,,
,Germany Central,,,Europe,Operational,,,Frankfurt,,Germany,", Frankfurt, , Germany",50.1109221,8.6821267,,
,Fermany Northeast,,,Europe,Operational,,,Magdeburg,,Germany,", Magdeburg, , Germany",52.1205333,11.6276237,,
NTT GDC Berlin 1,Germany North,NTT Global Data Centers,,Europe,Operational,Nonnendammallee 15,,Berlin,,Germany,"Nonnendammallee 15, Berlin, , Germany",52.5381948,13.2379765,,
Interxion FRA11,Germany West Central,Interxion (Digital Realty),,Europe,Operational,Weissmuellerstrasse 40,,Frankfurt,,Germany,"Weissmuellerstrasse 40, Frankfurt, , Germany",50.1197497,8.7384721,,
Equinix FR7,Germany West Central,Equinix,,Europe,Operational,Gutleutstrasse 310,,Frankfurt,,Germany,"Gutleutstrasse 310, Frankfurt, , Germany",50.0971357,8.6440413,,
Interxion ZUR2,Swizerland North,Interxion (Digital Realty),,Europe,Operational,Sägereistrasse 35,,Zurich,,Switzerland,"Sägereistrasse 35, Zurich, , Switzerland",47.4327017,8.5572734,,
Equinix GV2,Switzerland West,Equinix,,Europe,Operational,Route du Bois-des-Freres 48,,Geneva,,Switzerland,"Route du Bois-des-Freres 48, Geneva, , Switzerland",46.2079395,6.098132,800,
DigiPlex Oslo Ulven,Norway East,DigiPlex,,Europe,Operational,1 Selma Ellefsens Vei,,Oslo,,Norway,"1 Selma Ellefsens Vei, Oslo, , Norway",59.925046,10.8089642,,
GreenMountain DC1-Stavanger,Norway West,Green Mountain,,Europe,Operational,Hodneveien 260,,Stavanger,,Norway,"Hodneveien 260, Stavanger, , Norway",59.0685323,5.758043,,
Microsoft: Singapore Data Center,Southeast Asia,Microsoft,,Asia Pacific,Operational,1 Marina Boulevard,,Singapore,,Singapore,"1 Marina Boulevard, Singapore, , Singapore",1.2822004,103.8526513,,
Equinix SG1,Southeast Asia,Equinix,,Asia Pacific,Operational,20 Ayer Rajah Crescent,,Singapore,,Singapore,"20 Ayer Rajah Crescent, Singapore, , Singapore",1.2951664,103.7898402,7124,
Global Switch Singapore Tai Seng,Southeast Asia,Global Switch,,Asia Pacific,Operational,2 Tai Seng Avenue,,Singapore,,Singapore,"2 Tai Seng Avenue, Singapore, , Singapore",1.336723,103.8938277,,
Microsoft: Hong Kong Data Center,East Asia,Microsoft,,Asia Pacific,Operational,"Route Twisk, Tai Mo Shan",,Hong Kong,,Hong Kong,"Route Twisk, Tai Mo Shan, Hong Kong, , Hong Kong",22.4062794,114.1053685,,
MEGA-i,East Asia,SUNeVision,,Asia Pacific,Operational,"MEGA-i-Advantage,",,Hong Kong,,Hong Kong,"MEGA-i-Advantage,, Hong Kong, , Hong Kong",22.2660651,114.2466279,,
Equinix HK1,East Asia,Equinix,,Asia Pacific,Operational,168 Yeung Uk Road ,,Hong Kong,,Hong Kong,"168 Yeung Uk Road , Hong Kong, , Hong Kong",22.365483,114.1193175,,
Equinix SY2,Australia East,Equinix,,Asia Pacific,Operational,639 Gardener Drive,,Sydney,,Australia,"639 Gardener Drive, Sydney, , Australia",-33.9218679,151.1880252,,
Microsoft: Sydney Data Center,Australia Southeast,Microsoft,,Asia Pacific,Operational,,,Sydney,,Australia,", Sydney, , Australia",-33.8688197,151.2092955,,
NEXTDC S1,Australia Southeast,NEXTDC,,Asia Pacific,Operational,4 Eden Park Drive,,Sydney,,Australia,"4 Eden Park Drive, Sydney, , Australia",-33.7852629,151.1314902,,
Microsoft: Melbourne Australia Data Center,Australia Southeast,Microsoft,,Asia Pacific,Operational,,,Melbourne,,Australia,", Melbourne, , Australia",-37.8136276,144.9630576,,
Microsoft: Melbourne Data Centre,Australia Southeast,Microsoft,,Asia Pacific,Operational,338-352 Bourke Street,,Melbourne,,Australia,"338-352 Bourke Street, Melbourne, , Australia",-37.8136186,144.963086,,
NEXTDC M1,Australia Southeast,NEXTDC,,Asia Pacific,Operational,826 Loimer St,,Melbourne,,Australia,"826 Loimer St, Melbourne, , Australia",-37.8226336,144.9321061,,
CDC Fyshwick 1,Australia Central,Canberra Data Centres (CDC),,Asia Pacific,Operational,Barrier St,,Fyshwick,,Australia,"Barrier St, Fyshwick, , Australia",-35.3280365,149.1710124,,
CDC Hume 1,Australia Central 2,Canberra Data Centres (CDC),,Asia Pacific,Operational,3 Arnott St,,Hume ,,Australia,"3 Arnott St, Hume , , Australia",-35.3859649,149.1728526,,
China Telecom Beijing,China North,China Telecom,,Asia Pacific,Operational,Yong Feng Road,,Beijing,,China,"Yong Feng Road, Beijing, , China",40.03242,116.27272,,
China Unicom Beijing 2,China North 2,China Unicom,,Asia Pacific,Operational,"No. 11, West Chang'an Ave,",,Beijing,,China,"No. 11, West Chang'an Ave,, Beijing, , China",39.9073644,116.3857362,,
China Telecom Shanghai,China East,China Telecom,,Asia Pacific,Operational,1761 Si Chuan Bei Lu,,Shanghai,,China,"1761 Si Chuan Bei Lu, Shanghai, , China",31.25693,121.48311,,
China Telecom Shanghai Zhenru Data Center,China East 2,China Telecom,,Asia Pacific,Operational,No. 6 Zhenda Road,,Shanghai,,China,"No. 6 Zhenda Road, Shanghai, , China",31.28966,121.40073,,
Microsoft: Nanjing,Chine East 3,Microsoft,2025,Asia Pacific,Planned,,,Nanjing,,China,", Nanjing, , China",32.0583799,118.79647,,
Microsoft: Langfang,China North 3,Microsoft,2025,Asia Pacific,Planned,,,Langfang,,China,", Langfang, , China",39.5377499,116.68376,,
Microsoft: Kuala Lumpur,Malaysia West,Microsoft,2023,Asia Pacific,Planned,,,Kuala Lumpur,,Malaysia,", Kuala Lumpur, , Malaysia",3.139003,101.686855,,
AIMS Kuala Lumpur,Malaysia West,AIMS,,Asia Pacific,Operational,"Menara Aik Hua, Kuala Lumpur",,Kuala Lumpur,,Malaysia,"Menara Aik Hua, Kuala Lumpur, Kuala Lumpur, , Malaysia",3.1496946,101.7063402,,
Telkomsigma Serpong (BSD),Indnesia Central,Telkomsigma,,Asia Pacific,Operational,Jl Kapt. Subijanto Dj,,Tangerang,,Indonesia,"Jl Kapt. Subijanto Dj, Tangerang, , Indonesia",-6.1700957,106.6403119,,
STT Pune DC1,Central India,STT GDC India Pvt Ltd,,Asia Pacific,Operational,"Alandi Rd, V S N L Old Colony",,Pune,,India,"Alandi Rd, V S N L Old Colony, Pune, , India",18.6019276,73.8727701,,
Nxtra Mumbai 1 DC,West India,Nxtra,,Asia Pacific,Operational,"Interface, 5th Floor, Building No. 7",,Mumbai,,India,"Interface, 5th Floor, Building No. 7, Mumbai, , India",19.0759837,72.8776559,,
STT Mumbai DC3,West India,STT GDC India Pvt Ltd,,Asia Pacific,Operational,"C - 21 & C - 36, 'G' Block,Bandra Kurla Complex",,Mumbai,,India,"C - 21 & C - 36, 'G' Block,Bandra Kurla Complex, Mumbai, , India",19.0709104,72.8761125,,
STT Chennai DC1,South India,STT GDC India Pvt Ltd,,Asia Pacific,Operational,4 Swami Sivananda Salai Road,,Chennai,,India,"4 Swami Sivananda Salai Road, Chennai, , India",13.0692917,80.2784928,,
Equinix TY4,Japan East,Equinix,,Asia Pacific,Operational,1-9-5 Otemachi,,Tokyo,,Japan,"1-9-5 Otemachi, Tokyo, , Japan",35.6870985,139.764569,2712,
Microsoft: Saitama Japan Data Center,Japan East,Microsoft,,Asia Pacific,Operational,,,Saitama,,Japan,", Saitama, , Japan",35.8616486,139.6454782,,
AT TOKYO CC1,Japan East,AT TOKYO Corporation,,Asia Pacific,Operational,Koto-ku,,Tokyo,,Japan,"Koto-ku, Tokyo, , Japan",35.6727748,139.8174521,,
Microsoft: Osaka,Japan West,Microsoft,,Asia Pacific,Operational,"5 Chome−6, maruo osaka",,Osaka,,Japan,"5 Chome−6, maruo osaka, Osaka, , Japan",34.6937249,135.5022535,,
Equinix OS1,Japan West,Equinix,,Asia Pacific,Operational,"Shinmachi, 1 Chome−26−1",,Osaka,,Japan,"Shinmachi, 1 Chome−26−1, Osaka, , Japan",34.6757208,135.4956603,3100,
KINX Gasan IDC,Korea Ceneral,KINX,,Asia Pacific,Operational,"3F, LG Gasan Digital Center",,Seoul,,South Korea,"3F, LG Gasan Digital Center, Seoul, , South Korea",37.4822706,126.8802738,,
KT Mok-Dong II,Korea Ceneral,KT,,Asia Pacific,Operational,"323, Mokdongdong-ro, Yangcheon-gu,",,Seoul,,South Korea,"323, Mokdongdong-ro, Yangcheon-gu,, Seoul, , South Korea",37.5305291,126.8761705,,
LG CNS Busan,Korea South,LG Uplus,,Asia Pacific,Operational,,,Busan,,South Korea,", Busan, , South Korea",35.1795543,129.0756416,,
Microsoft: Auckland New Zealand,New Zealand North,Microsoft,2023,Asia Pacific,Planned,,,Auckland,,New Zealand,"Auckland, New Zealand",-36.8508827,174.7644881,,
"Vocus Auckland,",New Zealand North,Vocus Communications,,Asia Pacific,Operational,7A Parkhead Pl,,Albany,,New Zealand,"7A Parkhead Pl, Albany, , New Zealand",-36.7501622,174.6965248,,
Microsoft: Taipei Taiwan,Taipei North,Microsoft,2024,Asia Pacific,Planned,,,Taipei,,Taiwan,", Taipei, , Taiwan",25.0329636,121.5654268,,
Chief Hongding Building,Taipei North,Chief Telecom,,Asia Pacific,Operational,"No.35, Lane 188, Rui Guang Rd.",,Taipei,,Taiwan,"No.35, Lane 188, Rui Guang Rd., Taipei, , Taiwan",25.0742438,121.576872,,
Microsoft: Qatar,Qatar Cental,Microsoft,2025,Middle East and Africa,Planned,,,Doha,,Qatar,", Doha, , Qatar",25.2854473,51.5310398,,
Microsoft: Israel,Israel Central,Microsoft,2024,Middle East and Africa,Planned,,,Tel Aviv,,Israel,", Tel Aviv, , Israel",32.0852999,34.7817676,,
Teraco CT1,South Africa West,Teraco,,Middle East and Africa,Operational,240 Main Road,,Cape Town,,South Africa,"240 Main Road, Cape Town, , South Africa",-34.1322849,18.4433445,,
Teraco JB1,South Africa North,Teraco,,Middle East and Africa,Operational,5 Brewery Street,,Johannesburg,,South Africa,"5 Brewery Street, Johannesburg, , South Africa",-26.1379687,28.1987597,,
Microsoft: Abu Dhabi,UAE Cental,Microsoft,,Middle East and Africa,Operational,,,Abu Dhabi,,UAE,", Abu Dhabi, , UAE",24.453884,54.3773438,,
Microsoft: Dubai,UAE Norh,Microsoft,,Middle East and Africa,Operational,,,Dubai,,UAE,", Dubai, , UAE",25.2048493,55.2707828,,
US Gov Virgina,US Gov Virgina,Microsoft,,North America,Operational,,,Washington,DC,United States,", Washington, DC, United States",38.9071923,-77.0368707,,
US Gov Iowa,US Gov Iowa,Microsoft,,North America,Operational,,,,Iowa,United States,", , Iowa, United States",41.8780025,-93.097702,,
US Gov Arizona,US Gov Arizona,Microsoft,,North America,Operational,,,Pheonix,Arizona,United States,", Pheonix, Arizona, United States",33.4483771,-112.0740373,,
US Gov Texas,US Gov Texas,Microsoft,,North America,Operational,,,Austin,Texas,United States,", Austin, Texas, United States",30.267153,-97.7430608,,
US DoD East,US DoD East,Microsoft,,North America,Operational,,,Richmond,Virgina,United States,", Richmond, Virgina, United States",37.5407246,-77.4360481,,
US DoD Central,US DoD Central,Microsoft,,North America,Operational,,,Des Moines,Iowa,United States,", Des Moines, Iowa, United States",41.5868353,-93.6249593,,
US Sec East,US Sec East,Microsoft,,North America,Operational,,,Richmond,Virginia,United States,", Richmond, Virginia, United States",37.5407246,-77.4360481,,
US Sec West,US Sec West,Microsoft,,North America,Operational,,,San Francisco,California,United States,", San Francisco, California, United States",37.7749295,-122.4194155,,
US Sec West Central,US Sec West Central,Microsoft,,North America,Operational,,,Des Moines,Iowa,United States,", Des Moines, Iowa, United States",41.5868353,-93.6249593,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
